,projectId,country,percentValidated,percentMapped,mapperLevel,status,priority
189,8512,Botswana,100,100,BEGINNER,ARCHIVED,LOW
197,8571,Botswana,99,99,BEGINNER,ARCHIVED,LOW
66,8572,Botswana,100,100,BEGINNER,ARCHIVED,MEDIUM
198,8573,Botswana,100,100,BEGINNER,ARCHIVED,LOW
199,8574,Botswana,99,99,BEGINNER,ARCHIVED,LOW
200,8575,Botswana,99,99,BEGINNER,ARCHIVED,LOW
201,8576,Botswana,100,100,BEGINNER,ARCHIVED,LOW
202,8577,Botswana,100,100,BEGINNER,ARCHIVED,LOW
203,8578,Botswana,98,100,BEGINNER,ARCHIVED,LOW
204,8579,Botswana,93,98,BEGINNER,ARCHIVED,LOW
205,8580,Botswana,100,100,BEGINNER,ARCHIVED,LOW
206,8582,Botswana,100,100,BEGINNER,ARCHIVED,LOW
207,8583,Botswana,100,100,BEGINNER,ARCHIVED,LOW
208,8584,Botswana,100,100,BEGINNER,ARCHIVED,LOW
209,8585,Botswana,100,100,BEGINNER,ARCHIVED,LOW
210,8586,Botswana,100,100,BEGINNER,ARCHIVED,LOW
211,8587,Botswana,100,100,BEGINNER,ARCHIVED,LOW
212,8588,Botswana,100,100,BEGINNER,ARCHIVED,LOW
221,8684,Botswana,99,100,BEGINNER,ARCHIVED,LOW
222,8685,Botswana,100,100,BEGINNER,ARCHIVED,LOW
224,8690,Botswana,100,100,BEGINNER,ARCHIVED,LOW
227,8701,Botswana,100,100,BEGINNER,ARCHIVED,LOW
228,8702,Botswana,100,100,BEGINNER,ARCHIVED,LOW
229,8703,Botswana,100,100,BEGINNER,ARCHIVED,LOW
231,8705,Botswana,100,100,BEGINNER,ARCHIVED,LOW
232,8706,Botswana,100,100,BEGINNER,ARCHIVED,LOW
233,8707,Botswana,100,100,BEGINNER,ARCHIVED,LOW
240,8806,Botswana,100,100,BEGINNER,ARCHIVED,LOW
241,8811,Botswana,100,100,BEGINNER,ARCHIVED,LOW
245,8869,Botswana,100,100,BEGINNER,ARCHIVED,LOW
246,8870,Botswana,100,100,BEGINNER,ARCHIVED,LOW
247,8871,Botswana,100,100,BEGINNER,ARCHIVED,LOW
248,8872,Botswana,100,100,BEGINNER,ARCHIVED,LOW
249,8889,Botswana,100,100,BEGINNER,ARCHIVED,LOW
250,8890,Botswana,100,100,BEGINNER,ARCHIVED,LOW
251,8891,Botswana,100,100,BEGINNER,ARCHIVED,LOW
252,8892,Botswana,100,100,BEGINNER,ARCHIVED,LOW
254,8904,Botswana,100,100,BEGINNER,ARCHIVED,LOW
256,8954,Botswana,0,20,BEGINNER,ARCHIVED,LOW
257,8955,Botswana,29,100,BEGINNER,ARCHIVED,LOW
267,9014,Botswana,100,100,BEGINNER,ARCHIVED,LOW
268,9016,Botswana,100,100,BEGINNER,ARCHIVED,LOW
270,9032,Botswana,100,100,BEGINNER,ARCHIVED,LOW
220,8683,Botswana,0,0,BEGINNER,DRAFT,LOW
225,8699,Botswana,0,0,BEGINNER,DRAFT,LOW
223,8688,Botswana,39,88,BEGINNER,PUBLISHED,LOW
226,8700,Botswana,0,33,BEGINNER,PUBLISHED,LOW
230,8704,Botswana,100,100,BEGINNER,PUBLISHED,LOW
235,8763,Botswana,0,47,BEGINNER,PUBLISHED,LOW
236,8764,Botswana,0,52,BEGINNER,PUBLISHED,LOW
237,8765,Botswana,0,28,BEGINNER,PUBLISHED,LOW
2,8767,Botswana,0,28,BEGINNER,PUBLISHED,URGENT
68,8768,Botswana,96,100,BEGINNER,PUBLISHED,MEDIUM
242,8812,Botswana,100,100,BEGINNER,PUBLISHED,LOW
253,8894,Botswana,0,92,BEGINNER,PUBLISHED,LOW
33,8903,Botswana,100,100,BEGINNER,PUBLISHED,HIGH
37,8996,Botswana,61,98,BEGINNER,PUBLISHED,HIGH
269,9020,Botswana,100,100,BEGINNER,PUBLISHED,LOW
38,9043,Botswana,0,100,BEGINNER,PUBLISHED,HIGH
26,8788,Brasil,0,58,BEGINNER,PUBLISHED,HIGH
27,8789,Brasil,0,19,BEGINNER,PUBLISHED,HIGH
13,8317,Brazil,25,100,BEGINNER,PUBLISHED,HIGH
5,8188,Colombia,100,100,BEGINNER,PUBLISHED,HIGH
39,8189,Colombia,63,98,BEGINNER,PUBLISHED,MEDIUM
40,8190,Colombia,0,15,BEGINNER,PUBLISHED,MEDIUM
41,8191,Colombia,4,6,BEGINNER,PUBLISHED,MEDIUM
42,8192,Colombia,0,22,BEGINNER,PUBLISHED,MEDIUM
43,8193,Colombia,2,36,BEGINNER,PUBLISHED,MEDIUM
44,8194,Colombia,22,24,BEGINNER,PUBLISHED,MEDIUM
45,8195,Colombia,0,4,BEGINNER,PUBLISHED,MEDIUM
46,8196,Colombia,0,6,BEGINNER,PUBLISHED,MEDIUM
47,8197,Colombia,5,15,BEGINNER,PUBLISHED,MEDIUM
48,8198,Colombia,12,39,BEGINNER,PUBLISHED,MEDIUM
49,8199,Colombia,81,87,BEGINNER,PUBLISHED,MEDIUM
50,8200,Colombia,0,76,BEGINNER,PUBLISHED,MEDIUM
51,8201,Colombia,1,27,BEGINNER,PUBLISHED,MEDIUM
52,8202,Colombia,5,57,BEGINNER,PUBLISHED,MEDIUM
53,8203,Colombia,2,48,BEGINNER,PUBLISHED,MEDIUM
213,8593,Colombia,2,57,BEGINNER,PUBLISHED,LOW
64,8472,Democratic Republic of the Congo,0,0,INTERMEDIATE,DRAFT,MEDIUM
258,8986,Jamaika,0,0,BEGINNER,DRAFT,LOW
259,8987,Jamaika,0,0,BEGINNER,DRAFT,LOW
260,8988,Jamaika,0,0,BEGINNER,DRAFT,LOW
261,8989,Jamaika,0,0,BEGINNER,DRAFT,LOW
262,8990,Jamaika,0,0,BEGINNER,DRAFT,LOW
263,8991,Jamaika,0,0,BEGINNER,DRAFT,LOW
264,8992,Jamaika,0,0,BEGINNER,DRAFT,LOW
265,8994,Jamaika,0,0,BEGINNER,DRAFT,LOW
36,8963,Jamaika,35,99,BEGINNER,PUBLISHED,HIGH
4,8964,Jamaika,18,74,BEGINNER,PUBLISHED,URGENT
266,8995,Jamaika,0,16,BEGINNER,PUBLISHED,LOW
29,8823,Kenya,0,8,INTERMEDIATE,PUBLISHED,HIGH
31,8863,Kenya,0,1,INTERMEDIATE,PUBLISHED,HIGH
69,8816,Liberia,16,100,BEGINNER,PUBLISHED,MEDIUM
70,8825,Liberia,0,100,BEGINNER,PUBLISHED,MEDIUM
71,8826,Liberia,9,100,BEGINNER,PUBLISHED,MEDIUM
72,8827,Liberia,0,100,BEGINNER,PUBLISHED,MEDIUM
73,8874,Liberia,0,95,BEGINNER,PUBLISHED,MEDIUM
74,8875,Liberia,0,0,BEGINNER,PUBLISHED,MEDIUM
75,8876,Liberia,15,100,BEGINNER,PUBLISHED,MEDIUM
76,8877,Liberia,4,100,BEGINNER,PUBLISHED,MEDIUM
